Data Series Information
Name:;;;20230824_CNF_P40 2
Sample:;;;1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/08/24; 11:12 午後
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;26

Time Setting:;;;26 Meas. Pts.
;;;Meas. Pt. Duration 10 s
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 5 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa・s];[1/min];[μNm];[]
1;0.01;-0.00167;-0.167;0.00334;-0.0547;Dy_auto
2;0.0158;-0.000671;-0.0424;0.00528;-0.022;Dy_auto
3;0.0251;0.000718;0.0286;0.00838;0.0235;Dy_auto
4;0.0398;0.00376;0.0944;0.0133;0.123;Dy_auto
5;0.0631;0.00575;0.0911;0.021;0.188;Dy_auto
6;0.1;0.00885;0.0886;0.0334;0.29;Dy_auto
7;0.159;0.0106;0.0668;0.0529;0.347;Dy_auto
8;0.251;0.0148;0.0588;0.0838;0.484;Dy_auto
9;0.398;0.0213;0.0535;0.133;0.697;Dy_auto
10;0.631;0.0237;0.0376;0.211;0.777;Dy_auto
11;1;0.0265;0.0265;0.334;0.867;Dy_auto
12;1.58;0.0284;0.0179;0.529;0.93;Dy_auto
13;2.51;0.042;0.0167;0.838;1.38;Dy_auto
14;3.98;0.0542;0.0136;1.33;1.77;Dy_auto
15;6.31;0.0734;0.0116;2.11;2.4;Dy_auto
16;10;0.112;0.0112;3.34;3.67;Dy_auto
17;15.8;0.156;0.00987;5.29;5.12;Dy_auto
18;25.1;0.219;0.00874;8.38;7.19;Dy_auto
19;39.8;0.305;0.00766;13.3;9.99;Dy_auto
20;63.1;0.422;0.00669;21.1;13.8;Dy_auto
21;100;0.58;0.0058;33.4;19;Dy_auto
22;158;0.787;0.00497;52.9;25.8;Dy_auto
23;251;1.18;0.00469;83.8;38.6;Dy_auto
24;398;1.92;0.00483;133;63.1;Dy_auto
25;631;3;0.00475;211;98.2;Dy_auto
26;1000;4.66;0.00466;334;153;Dy_auto

Data Series Information
Name:;;;20230824_CNF_P40 3
Sample:;;;1
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/08/24; 11:22 午後
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;32

Time Setting:;;;32 Meas. Pts.
;;;Meas. Pt. Duration 15 s
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.001 ... 1000 1/s log

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa・s];[1/min];[μNm];[]
1;0.001;0.00628;6.27;0.000334;0.206;Dy_auto
2;0.00156;0.00629;4.03;0.00052;0.206;Dy_auto
3;0.00244;0.00647;2.65;0.000815;0.212;Dy_auto
4;0.00381;0.00647;1.7;0.00127;0.212;Dy_auto
5;0.00594;0.00647;1.09;0.00198;0.212;Dy_auto
6;0.00929;0.00648;0.698;0.0031;0.212;Dy_auto
7;0.0145;0.00646;0.445;0.00484;0.212;Dy_auto
8;0.0226;0.0064;0.283;0.00756;0.21;Dy_auto
9;0.0353;0.00717;0.203;0.0118;0.235;Dy_auto
10;0.0552;0.00794;0.144;0.0184;0.26;Dy_auto
11;0.0861;0.00743;0.0862;0.0287;0.243;Dy_auto
12;0.135;0.00773;0.0574;0.0449;0.253;Dy_auto
13;0.21;0.00838;0.0399;0.0701;0.275;Dy_auto
14;0.328;0.011;0.0336;0.11;0.361;Dy_auto
15;0.513;0.014;0.0272;0.171;0.457;Dy_auto
16;0.8;0.0172;0.0215;0.267;0.563;Dy_auto
17;1.25;0.0232;0.0186;0.417;0.76;Dy_auto
18;1.95;0.0289;0.0148;0.651;0.947;Dy_auto
