Name:;;;2-2 2
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 21:13  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.0676;6.76;0.00334;2.21;Dy_auto
2;0.0147;0.0713;4.86;0.0049;2.34;Dy_auto
3;0.0215;0.0725;3.36;0.00719;2.38;Dy_auto
4;0.0316;0.0765;2.42;0.0106;2.51;Dy_auto
5;0.0464;0.0712;1.53;0.0155;2.33;Dy_auto
6;0.0681;0.082;1.2;0.0227;2.69;Dy_auto
7;0.1;0.0964;0.964;0.0334;3.16;Dy_auto
8;0.147;0.102;0.696;0.049;3.35;Dy_auto
9;0.215;0.0989;0.459;0.0719;3.24;Dy_auto
10;0.316;0.104;0.33;0.106;3.42;Dy_auto
11;0.464;0.115;0.248;0.155;3.76;Dy_auto
12;0.681;0.128;0.188;0.227;4.2;Dy_auto
13;1;0.144;0.144;0.334;4.7;Dy_auto
14;1.47;0.159;0.109;0.49;5.22;Dy_auto
15;2.15;0.176;0.0818;0.719;5.77;Dy_auto
16;3.16;0.22;0.0697;1.06;7.22;Dy_auto
17;4.64;0.255;0.0549;1.55;8.35;Dy_auto
18;6.81;0.32;0.047;2.27;10.5;Dy_auto
19;10;0.396;0.0396;3.34;13;Dy_auto
20;14.7;0.51;0.0347;4.9;16.7;Dy_auto
21;21.5;0.646;0.03;7.19;21.2;Dy_auto
22;31.6;0.814;0.0257;10.6;26.7;Dy_auto
23;46.4;1.04;0.0223;15.5;33.9;Dy_auto
24;68.1;1.32;0.0193;22.7;43.2;Dy_auto
25;100;1.68;0.0168;33.4;55.1;Dy_auto
26;147;2.14;0.0146;49;70.3;Dy_auto
27;215;2.73;0.0127;71.9;89.5;Dy_auto
28;316;3.5;0.0111;106;115;Dy_auto
29;464;4.47;0.00964;155;147;Dy_auto
30;681;5.77;0.00847;227;189;Dy_auto
31;1000;7.5;0.0075;334;246;Dy_auto

