Name:;;;P3-1 6
Number of Intervals:;;;1
Application:;;;RHEOPLUS/32 V3.61 21006227-33024
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2023/09/19; 15:15  
Measuring System:;;;CP50-2-SN42594; d=0.206 mm
Accessories:;;;TU1=P-PTD200-SN81263554

Interval:;;;1
Number of Data Points:;;;31

Time Setting:;;;31 Meas. Pts.
;;;Meas. Pt. Duration 60 ... 5 s log
Measuring Profile:
  Shear Rate;;;d(gamma)/dt = 0.01 ... 1000 1/s log; |Slope| = 6 Pt. / dec 

Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status
;[1/s];[Pa];[Pa�Es];[1/min];[��Nm];[]
1;0.01;0.00868;0.869;0.00334;0.285;Dy_auto
2;0.0147;0.0159;1.08;0.0049;0.52;Dy_auto
3;0.0215;0.0278;1.29;0.00719;0.91;Dy_auto
4;0.0316;0.0464;1.47;0.0106;1.52;Dy_auto
5;0.0464;0.0716;1.54;0.0155;2.34;Dy_auto
6;0.0681;0.0945;1.39;0.0227;3.1;Dy_auto
7;0.1;0.113;1.13;0.0334;3.69;Dy_auto
8;0.147;0.131;0.891;0.049;4.29;Dy_auto
9;0.215;0.154;0.717;0.0719;5.06;Dy_auto
10;0.316;0.187;0.593;0.106;6.14;Dy_auto
11;0.464;0.231;0.497;0.155;7.56;Dy_auto
12;0.681;0.283;0.415;0.227;9.27;Dy_auto
13;1;0.344;0.344;0.334;11.3;Dy_auto
14;1.47;0.418;0.285;0.49;13.7;Dy_auto
15;2.15;0.507;0.235;0.719;16.6;Dy_auto
16;3.16;0.612;0.194;1.06;20;Dy_auto
17;4.64;0.736;0.159;1.55;24.1;Dy_auto
18;6.81;0.882;0.129;2.27;28.9;Dy_auto
19;10;1.06;0.106;3.34;34.7;Dy_auto
20;14.7;1.27;0.0863;4.9;41.5;Dy_auto
21;21.5;1.51;0.0701;7.19;49.5;Dy_auto
22;31.6;1.82;0.0576;10.6;59.7;Dy_auto
23;46.4;2.19;0.0472;15.5;71.8;Dy_auto
24;68.1;2.64;0.0388;22.7;86.6;Dy_auto
25;100;3.2;0.032;33.4;105;Dy_auto
26;147;3.9;0.0266;49;128;Dy_auto
27;215;4.78;0.0222;71.9;157;Dy_auto
28;316;5.88;0.0186;106;193;Dy_auto
29;464;7.29;0.0157;155;239;Dy_auto
30;681;9.07;0.0133;227;297;Dy_auto
31;1000;11.4;0.0114;334;373;Dy_auto

